amenity,name,lon,lat
place_of_worship,Virgen de La Esperanza,-75.5415288,6.2905498
school,Escuela La Hermana Cira,-75.5367682,6.2966804
police,CAI,-75.5375803,6.2951049
place_of_worship,,-75.6185365,6.2523713
place_of_worship,,-75.5971449,6.2638335
community_centre,Corporación Camino al Progreso,-75.5662879,6.3004357
pharmacy,Farmacia San Gregorio,-75.6094015,6.2595222
pharmacy,Farmacia San Jeronimo,-75.6088257,6.2607582
place_of_worship,Iglesia Adventista Del 7mo Dia,-75.6074885,6.2599472
place_of_worship,Cristo - Monumento,-75.5910106,6.2068966
community_centre,Centro Cultural Casa Vivero,-75.5402809,6.244034
bank,Bancolombia Noel ATM,-75.5848096,6.2085871
hospital,Universidad Pascual Bravo,-75.5875358,6.2749027
bank,BBVA Cajero Depositario Puerto Seco 2,-75.5865102,6.2151526
nightclub,Sampues,-75.5681733,6.2105158
place_of_worship,Parroquiea Nuestra Señora de La Macarena,-75.5451251,6.2926242
place_of_worship,Misión Luterana Emaús,-75.5843933,6.2480832
community_centre,Centro Comunitario para La Sierra y Villa Turbay,-75.5283284,6.2349759
school,Institución educativa Escuela Normal Superior de Medellín,-75.5491013,6.255559
university,Facultad de Medicina Universidad de Antioquia,-75.5663929,6.2612647
clinic,IPS Universitaria - Clínica León XIII Edificio 1,-75.5645988,6.2667051
bank,Bancolombia Ruta N,-75.5669402,6.2648484
clinic,IPS Universitaria Clínica León XIII - Bloque 2,-75.5639427,6.2665867
clinic,IPS Universitaria - Sede Prado,-75.5653804,6.2611556
bank,,-75.6023294,6.2873277
bank,san pablo,-75.5428836,6.2935378
place_of_worship,Casa Cural,-75.545307,6.2924745
marketplace,La Placita #2,-75.5435244,6.2911888
bank,Bancolombia,-75.579041,6.1995352
place_of_worship,Iglesia Cristiana Palabra de Vida,-75.5846278,6.248543
place_of_worship,Gruta María Auxiliadora,-75.5736566,6.30009
place_of_worship,Gruta María Auxiliadora,-75.5745388,6.3000685
school,Gabriel gracia Marqués,-75.5337895,6.2362791
school,politécnico mayor,-75.5607024,6.2474575
school,villa Turbay,-75.5302745,6.2355967
place_of_worship,Gruta,-75.5744215,6.3010453
bank,Cajero bancolombia,-75.6138495,6.25829
clinic,Salvador,-75.5606633,6.2379305
school,CENTRO CULTURAL AUSTRÍACO,-75.6012289,6.2294784
school,Escolme,-75.5607402,6.2460418
bus_station,José María Córdova (MDE) Airport Bus,-75.5671965,6.2528597
place_of_worship,Gruta,-75.5738,6.3010973
place_of_worship,Gruta,-75.5701236,6.3031581
place_of_worship,Gruta,-75.5723243,6.3024551
place_of_worship,Gruta,-75.5718648,6.3023958
place_of_worship,Gruta,-75.5730193,6.3046667
place_of_worship,Gruta,-75.5689662,6.3039608
place_of_worship,Gruta,-75.5691456,6.3060667
place_of_worship,Gruta,-75.5682353,6.3083709
place_of_worship,Gruta,-75.5697269,6.310789
place_of_worship,Maria Auxiliadora,-75.5783816,6.3099842
place_of_worship,Maria Auxiliadora,-75.5703694,6.3069061
place_of_worship,Maria Auxiliadora,-75.5669469,6.3076279
clinic,hermanitas hospitalarias del sagrado corazón,-75.5619578,6.2594164
school,Colegio Agustiniano de San Nicolás,-75.5554636,6.2851713
place_of_worship,Iglesia San Nicolás,-75.5557605,6.2851374
place_of_worship,Capilla Jesús de Nazareth,-75.5630447,6.2272442
pharmacy,Pasteur,-75.5709459,6.2090114
pharmacy,Droguería El Poblado,-75.5705545,6.2098991
place_of_worship,Maria Auxiliadora,-75.5706465,6.3064876
place_of_worship,Maria Auxiliadora,-75.5704188,6.3067291
school,Colegio Maestro La Sierra,-75.5267168,6.2364853
hospital,Fundación Hogar Claret,-75.5274183,6.2395446
cinema,Colombo Americano,-75.5627237,6.2497341
place_of_worship,Iglesia pentecostal,-75.5397526,6.29392
place_of_worship,birjen,-75.539675,6.293936
place_of_worship,virgen,-75.5398095,6.2938237
hospital,basurero,-75.5396995,6.2937784
hospital,,-75.5385274,6.2933251
school,Politécnico mayor,-75.560921,6.249582
bank,Edificio DHL DANZAS,-75.577179,6.1896185
school,Nueva Lengua Medellin,-75.561299,6.2126488
place_of_worship,Escuela Bíblica Católica Yeshua,-75.5990438,6.26156
nightclub,Imperatum,-75.587962,6.2523197
nightclub,Salsarengue,-75.5878446,6.2526985
cinema,Royal films,-75.570411,6.2292255
police,Estación de Policía Castilla,-75.5623234,6.3047613
college,Politecnico Gran Colombiano,-75.5973065,6.2682666
school,Institución Educativa Ramón Múnera Lopera,-75.5434162,6.2697174
place_of_worship,Funeraria la Paz,-75.5781443,6.2553593
school,Colegio Pablo VI,-75.5443156,6.2706447
school,Institución Educativa Dinamarca,-75.572969,6.2826053
school,Institución Educativa María Montessori,-75.5750424,6.2868738
place_of_worship,Nuestra Señora de Las Lajas,-75.5753535,6.2867191
pharmacy,Barichara,-75.6507209,6.1758287
pharmacy,Pasteur,-75.5760871,6.212652
university,Universidad de Antioquia Sede Posgrados,-75.5847436,6.1977297
school,ATEC,-75.5634681,6.2435549
school,Instituto Ferrini,-75.5627034,6.2446418
place_of_worship,UniVERSIDAD adventista de colombia,-75.6089845,6.2409757
school,,-75.5673283,6.2075146
pharmacy,Pasteur,-75.5722128,6.1998211
clinic,Remy ips Medellín,-75.5637284,6.2577427
place_of_worship,Iglesia Nuestra Señora la Asunción,-75.5562058,6.2904903
bank,Banco Occidente,-75.5741334,6.1990911
school,"Portería, Escuela Mudos y Sordos",-75.5591026,6.2797125
nightclub,15 Minutos de fame,-75.565941,6.2077103
bus_station,Antigua terminal de buses flota La Milagrosa,-75.5608428,6.2301283
clinic,Coomeva EPS,-75.5913111,6.2296276
community_centre,seminario,-75.5409628,6.2427158
community_centre,UVA de la armonia,-75.5498252,6.2717158
community_centre,UVA el Encanto,-75.5745542,6.3052752
community_centre,UVA de los Suenos,-75.5422316,6.2636351
community_centre,UVA La Avanzada,-75.5382703,6.2950475
community_centre,UVA de la Cordialidad,-75.5463019,6.2987709
community_centre,UVA los Guayacanes,-75.6013692,6.2838647
community_centre,UVA de la Esperanza,-75.5449251,6.2870774
community_centre,UVA de la Armonia,-75.5461207,6.2748455
community_centre,UVA de la Imaginacion,-75.5557524,6.2528126
pharmacy,Drogueria Cosmos,-75.5564614,6.2695916
police,Distrito Militar #27,-75.5487088,6.2345544
hospital,IPS Comfama SURA,-75.5645554,6.2456545
clinic,,-75.5763702,6.2184873
pharmacy,Pasteur,-75.6559023,6.1840242
pharmacy,Vida Sana,-75.5823864,6.2554749
bus_station,Don Darío Moto,-75.558255,6.2935824
place_of_worship,Parroquia Maria Madre de la Esperanza,-75.5377599,6.2896172
place_of_worship,Iglesia MMM caicedo,-75.5340677,6.2324046
place_of_worship,Iglesia fe y esperanza,-75.6067214,6.2812791
pharmacy,,-75.6069088,6.2813102
clinic,OFEX,-75.6007042,6.2381215
bank,Cajero bancolombia,-75.6143169,6.257577
nightclub,Donde Robin,-75.6337745,6.2786471
pharmacy,Drogas Cálidad,-75.5649196,6.252002
school,Institución Educativa Alfonso Mora Naranjo,-75.5572185,6.2712273
place_of_worship,Plaza de Botero,-75.5684403,6.2520181
hospital,HOSPITAL,-75.56986,6.244572
place_of_worship,Parroquia de la sabiduría,-75.5398553,6.2694309
community_centre,CEDEZO,-75.6132539,6.2553614
bank,Avvillas,-75.5608707,6.286041
place_of_worship,Iglesia Alianza Medellín - Sendas de Luz,-75.5676544,6.2430076
place_of_worship,Iglesia Alianza Popular,-75.5456046,6.3022964
school,Colombia Immersion – Laureles,-75.598038,6.2538309
school,Colombia Immersion,-75.5980777,6.2537341
pharmacy,,-75.6214847,6.2501804
pharmacy,,-75.6219948,6.2518082
bank,Banco Colombia,-75.5943766,6.24389
pharmacy,,-75.6033773,6.2505275
clinic,Clínica Laser De Piel,-75.587777,6.2406067
bank,Banco de Bogotá,-75.5973264,6.261323
pharmacy,,-75.5972289,6.2616812
pharmacy,Drogueria,-75.6031542,6.2566145
pharmacy,Drogas Farma Exito,-75.5983699,6.247158
pharmacy,Drogas La Economia,-75.5708522,6.2108311
school,Toucan Spanish School,-75.5691181,6.2101483
nightclub,,-75.5677923,6.209546
pharmacy,,-75.5692021,6.2101603
pharmacy,,-75.57468,6.2126608
nightclub,,-75.5816661,6.2393093
pharmacy,D1 Farma,-75.6032045,6.2537776
pharmacy,,-75.603672,6.2576252
bank,Banco Popular,-75.5937852,6.2437379
pharmacy,,-75.6051363,6.2488061
pharmacy,,-75.5674359,6.2095156
pharmacy,,-75.5715389,6.2110575
hospital,San Esteban IPS,-75.6361794,6.2782437
